timestamp,X,Y,Z
1764061297739,-0.006759,0.013706,-0.010883
1764061297749,-0.008357,0.013779,-0.010897
1764061297759,-0.007248,0.018343,-0.010823
1764061297769,-0.006749,0.016747,-0.009856
1764061297779,-0.006013,0.017401,-0.009211
1764061297789,-0.008087,0.01708,-0.010905
1764061297799,-0.007376,0.014723,-0.009671
1764061297809,-0.006037,0.01438,-0.010146
1764061297819,-0.006108,0.014336,-0.011154
1764061297829,-0.009812,0.016327,-0.009039
1764061297839,-0.007204,0.017782,-0.011785
1764061297849,-0.009133,0.019712,-0.008852
1764061297859,-0.00827,0.019129,-0.010239
1764061297869,-0.009297,0.018063,-0.011615
1764061297879,-0.008844,0.017569,-0.008521
1764061297889,-0.009229,0.016479,-0.011517
1764061297899,-0.01426,0.017641,-0.013864
1764061297909,-0.009178,0.019386,-0.009308
1764061297919,-0.009653,0.020256,-0.010216
1764061297929,-0.006176,0.020609,-0.010093
1764061297939,-0.009423,0.021158,-0.009385
1764061297949,-0.008985,0.019243,-0.010952
1764061297959,-0.007195,0.018271,-0.010668
1764061297969,-0.007761,0.019079,-0.010125
1764061297979,-0.009466,0.017917,-0.009804
1764061297989,-0.008115,0.015528,-0.008803
1764061297999,-0.009594,0.016757,-0.0108
1764061298009,-0.008836,0.016793,-0.012282
1764061298019,-0.007724,0.01927,-0.009661
1764061298029,-0.006628,0.020535,-0.009777
1764061298039,-0.0105,0.020213,-0.011275
1764061298049,-0.009968,0.018939,-0.008986
1764061298059,-0.008298,0.018605,-0.01123
1764061298069,-0.013035,0.018689,-0.012195
1764061298079,-0.009665,0.018344,-0.011261
1764061298089,-0.008377,0.019926,-0.008538
1764061298099,-0.01131,0.019034,-0.010282
1764061298109,-0.010988,0.018043,-0.011964
1764061298119,-0.010887,0.016932,-0.009333
1764061298130,-0.012744,0.01999,-0.00939
1764061298140,-0.01509,0.022773,-0.0121
1764061298150,-0.012369,0.023084,-0.00951
1764061298160,-0.015655,0.024151,-0.010739
1764061298170,-0.015842,0.024251,-0.011469
1764061298180,-0.017133,0.023244,-0.008934
1764061298190,-0.017457,0.021165,-0.013094
1764061298200,-0.016205,0.02134,-0.010869
1764061298210,-0.018142,0.020819,-0.012247
1764061298220,-0.013942,0.019771,-0.011957
1764061298230,-0.013515,0.022164,-0.010917
1764061298240,-0.010983,0.019109,-0.01073
1764061298250,-0.010932,0.019269,-0.008201
1764061298260,-0.010916,0.021316,-0.010209
1764061298270,-0.010702,0.019449,-0.01211
1764061298280,-0.009477,0.021708,-0.009217
1764061298290,-0.010184,0.017111,-0.010762
1764061298300,-0.014353,0.018581,-0.011323
1764061298310,-0.010646,0.015693,-0.009192
1764061298320,-0.012138,0.013261,-0.009771
1764061298330,-0.012693,0.014938,-0.012088
1764061298340,-0.010088,0.011919,-0.009759
1764061298350,-0.012177,0.013461,-0.00975
1764061298360,-0.006417,0.013881,-0.011736
1764061298370,-0.008917,0.012848,-0.009759
1764061298380,-0.009394,0.013087,-0.010472
1764061298390,-0.008342,0.019592,-0.007846
1764061298400,-0.006669,0.017093,-0.011005
1764061298410,-0.010281,0.018321,-0.00928
1764061298420,-0.007245,0.018344,-0.010152
1764061298430,-0.008407,0.016207,-0.00881
1764061298440,-0.008744,0.018264,-0.008729
1764061298450,-0.008872,0.015087,-0.010797
1764061298460,-0.007383,0.017505,-0.009492
1764061298470,-0.008258,0.015973,-0.008373
1764061298480,-0.009271,0.018339,-0.012351
1764061298490,-0.00834,0.017943,-0.010862
1764061298500,-0.008687,0.019039,-0.009131
1764061298510,-0.006326,0.019737,-0.009219
1764061298520,-0.005571,0.017341,-0.007892
1764061298530,-0.007469,0.017025,-0.01246
1764061298540,-0.007499,0.018332,-0.011979
1764061298550,-0.00722,0.016063,-0.010322
1764061298560,-0.006795,0.017735,-0.009798
1764061298570,-0.008151,0.017825,-0.01116
1764061298580,-0.007794,0.017855,-0.010447
1764061298590,-0.008972,0.019161,-0.011035
1764061298600,-0.011955,0.017339,-0.009341
1764061298610,-0.009886,0.018887,-0.011796
1764061298620,-0.011281,0.013658,-0.010364
1764061298630,-0.009244,0.019644,-0.010222
1764061298640,-0.011002,0.016115,-0.008722
1764061298650,-0.010216,0.018091,-0.010415
1764061298660,-0.006209,0.01725,-0.010791
1764061298670,-0.007522,0.016951,-0.008228
1764061298680,-0.007774,0.019074,-0.010897
1764061298690,-0.00754,0.019827,-0.010865
1764061298700,-0.008087,0.018596,-0.01044
1764061298710,-0.008595,0.017421,-0.008321
